🙅‍♂	gacan, mamnuuc, meedaar, nin ku meedaaraya MAYA, qof ku meedaaraya MAYA, reebban
🙅‍♀	gacan, mamnuuc, meedaar, naag, naag ku meedaaraysa MAYA, reebban
🙆	HAA, gacan, meedaar, naag ku meedaaraysa HAA, qof ku meedaaraya HAA
🙆‍♂	gacan, meedaar, nin, nin ku meedaaraya HAA
🙆‍♀	gacan } HAA, haweeney ku meedaaraysa MAYA, meedaar, naag, naag ku meedaaraysa HAA
💁	bixinaya, caawin, daacad ah, gacan, qof warbixin bixinaya, warbixin
💁‍♂	daacad, nin, nin war bixinaya, nin warbixin bixinaya, warbixin bixin
💁‍♀	daacad, naag, naag warbixin bixinaysa, warbixin bixin
🙋	farxad, gacan, meedaar, qof gacan taagaya, qof gcan taagaya, taagay
🙋‍♂	gacan taagid, meedaar, nin, nin gacan taagaya, nin gcan taagaya
🙋‍♀	gacan taagid, meedaar, naag, naag gacan taagaysa
🧏	awood u yeelid, dhag, dhagoole, maqal, qof dhagoole ah
🧏‍♂	dhagoole, nin, nin dhagoole ah
🧏‍♀	dhagoole, naag, naag dhagoole ah
🙇	ka xummaansho, meedaar, qof fooraraya, raaligalin, waji foorarin
🙇‍♂	ka xummaansho, meedaar, nin, nin fooraraya, raaligalin, roonaan, waji foorarin
🙇‍♀	ka xummaansho, madax foorarin, meedaar, naag, naag fooraraysa, raaligalin, roonaan
🤦	aammin darro, calaacal, caro, qof calaacal waji saaranaya, qof waji calaacal saaranaya, waji
🤦‍♂	aammin darro, calaacal waji saaris, caro, nin calaacal waji saaranaya
🤦‍♀	aammin darro, calaal waji saar, caro, naag, naag calaacal waji saaranaysa
🤷	aan danaynayn, garba-ruxida, jaahilnimo, qof garba-ruxaya, shaki
🤷‍♂	aan danaynayn, garba-ruxid, jaahilnimo, nin, nin garba-ruxaya, shaki
🤷‍♀	aan danaynayn, garba-ruxid, jaahilnimo, naag, naag garba-ruxaysa, shaki
🧑‍⚕	dhaqtar, shaqaale caafimaad, daryeel caafimaad, kalkaaliso, daweeyaha, shaqaale caafimaad
👨‍⚕	daryeel caafimaad, daweeye, dhakhtar, kalkaaliye, nin, nin shaqaale caafimaad ah
👩‍⚕	daryeel caafimaad, daweeye, dhakhtar, kalkaaliso, naag, naag shaqaale caafimaad ah
🧑‍🎓	Arday, arday, qalin jabiye
👨‍🎓	arday, nin, nin arday ah, qallinjabin
👩‍🎓	arday, naag, naag ardayad ah, qallinjabin
🧑‍🏫	bare, macallin
👨‍🏫	barafasoor, hagge, macallin, nin, nin macallin ah
👩‍🏫	barafasoor, hagge, macallin, naag, naag macallimad ah
🧑‍⚖	qaalli, qaalli, miisaanka
👨‍⚖	caddaalad, miisaan, nin, nin garsoore ah
👩‍⚖	garsoore, miisaanka, naag, naag garsoore ah
🧑‍🌾	Beeraley, beeraley. beer ilaaliye, waardiye
👨‍🌾	beer-qote, beeraleey, beerinfoof, nin, nin beeraleey ah
👩‍🌾	beer-qote, beeraleey, beerinfoof, naag, naag beeraleeyad ah
